donor_id,PD50308,PD40521,PD50307,PD37580,PD41048,PD47703,PD49237,PD47537,PD49236,PD44579,PD45534
Deletion_number,3,0,1,0,0,9,3,0,8,2,2
Duplication_number,0,0,0,0,1,0,0,0,2,1,2
Inversion_number,0,0,1,0,0,5,0,0,0,3,2
Translocation_number,0,0,0,0,0,2,0,0,1,0,1
Sample_number,41,41,41,84,200,200,44,44,173,173,200
Deletion_fraction,0.073170732,0,0.024390244,0,0,0.045,0.068181818,0,0.046242775,0.011560694,0.01
Duplication_fraction,0,0,0,0,0.005,0,0,0,0.011560694,0.005780347,0.01
Inversion_fraction,0,0,0.024390244,0,0,0.025,0,0,0,0.01734104,0.01
Translocation_fraction,0,0,0,0,0,0.01,0,0,0.005780347,0,0.005
Total,0.073170732,0,0.048780488,0,0.005,0.08,0.068181818,0,0.063583815,0.034682081,0.035
