MutationType	hdp.1	hdp.2	hdp.3
1:Del:C:0	0.048183903	0.124651756	0.039353664
1:Del:C:1	0.030351837	0.088167152	0.01636762
1:Del:C:2	0.013738741	0.036814114	0.017689538
1:Del:C:3	0.004851752	0.015268893	0.004911736
1:Del:C:4	0.00343432	0.008054933	0.004005445
1:Del:C:5	0.001377717	0.004168606	0.009611619
1:Del:T:0	0.040457122	0.100769237	0.00935048
1:Del:T:1	0.020197077	0.053628784	0.010615863
1:Del:T:2	0.037129578	0.047810183	0.006005165
1:Del:T:3	0.155563867	0.037154607	0.010670672
1:Del:T:4	0.224826466	0.024233384	0.014336422
1:Del:T:5	0.288441735	0.038769943	0.07459827
1:Ins:C:0	0.003104278	0.005070048	0.0071523
1:Ins:C:1	0.001776013	0.005566387	0.002435711
1:Ins:C:2	0.001242336	0.003981182	0.00229848
1:Ins:C:3	0.000533564	0.001484519	0.00190791
1:Ins:C:4	0.000534351	0.001282746	0.001693297
1:Ins:C:5	0.001000696	0.005592528	0.004123624
1:Ins:T:0	0.013399771	0.006013132	0.002383594
1:Ins:T:1	0.006381267	0.037911728	0.011687341
1:Ins:T:2	0.001521757	0.009254221	0.002009384
1:Ins:T:3	0.006423613	0.009762137	0.007020591
1:Ins:T:4	0.000840173	0.004779107	0.003839912
1:Ins:T:5	0.019689465	0.039232054	0.489839077
2:Del:R:0	0.003929653	0.01117484	0.005296093
2:Del:R:1	0.00375784	0.011672942	0.004032919
2:Del:R:2	0.000960374	0.003316967	0.001347114
2:Del:R:3	0.000655879	0.001092799	0.003003618
2:Del:R:4	5.94E-05	0.000222312	0.001368927
2:Del:R:5	6.07E-07	5.38E-05	0.051684845
3:Del:R:0	0.000784469	0.005254442	0.002350183
3:Del:R:1	0.003427191	0.012353891	0.004143919
3:Del:R:2	0.000275508	0.0022743	0.000700099
3:Del:R:3	3.48E-05	0.000390567	0.00211852
3:Del:R:4	0.000107968	4.34E-05	0.001818241
3:Del:R:5	3.15E-07	3.94E-05	0.006759935
4:Del:R:0	0.000872759	0.00480999	0.001178474
4:Del:R:1	0.004651829	0.019025169	0.004280943
4:Del:R:2	0.000241865	0.003840443	0.000225313
4:Del:R:3	0.000198237	0.001315212	0.003828591
4:Del:R:4	4.04E-05	0.000256669	0.002010074
4:Del:R:5	9.92E-05	3.79E-05	0.001572772
5:Del:R:0	0.002807946	0.023273909	0.007174389
5:Del:R:1	0.001060718	0.007791006	0.00874081
5:Del:R:2	0.000510063	0.00094408	0.011720406
5:Del:R:3	5.14E-05	8.85E-05	0.016082251
5:Del:R:4	5.56E-05	7.26E-05	0.010419542
5:Del:R:5	3.37E-07	5.29E-06	0.00225437
2:Ins:R:0	0.00391209	0.005042052	0.00456569
2:Ins:R:1	0.000971191	0.005148799	0.002810404
2:Ins:R:2	0.000831335	0.002094941	0.002620158
2:Ins:R:3	0.000286032	0.000468265	0.001130291
2:Ins:R:4	0.000177525	0.000305412	0.00035426
2:Ins:R:5	0.000365079	0.001616841	0.012172688
3:Ins:R:0	0.000428317	0.002308342	0.001948983
3:Ins:R:1	0.001189218	0.003780898	0.000961859
3:Ins:R:2	7.32E-05	0.000521742	0.000133158
3:Ins:R:3	7.88E-05	1.52E-06	4.56E-06
3:Ins:R:4	4.42E-05	0.000118811	3.24E-06
3:Ins:R:5	0.000110396	0.000262092	0.000240706
4:Ins:R:0	0.000929992	0.002397058	0.00190294
4:Ins:R:1	0.000473115	0.003696667	0.001646288
4:Ins:R:2	8.13E-05	0.000154565	0.001137816
4:Ins:R:3	4.77E-05	5.86E-05	1.22E-05
4:Ins:R:4	2.25E-07	0.000137379	4.80E-05
4:Ins:R:5	0.000140509	0.000563399	0.001934901
5:Ins:R:0	0.001277778	0.006605666	0.001252543
5:Ins:R:1	0.00774801	0.02916371	0.011609889
5:Ins:R:2	3.00E-05	0.000490064	0.000226072
5:Ins:R:3	4.10E-05	0.000232506	0.00195989
5:Ins:R:4	3.41E-05	0.000303671	0.000586476
5:Ins:R:5	6.31E-05	0.000156972	0.000586269
2:Del:M:1	0.004652593	0.01441196	0.006928161
3:Del:M:1	0.000999212	0.005041558	0.002695401
3:Del:M:2	0.002585174	0.007889386	0.002194245
4:Del:M:1	0.000812692	0.005514995	0.001959476
4:Del:M:2	0.003304988	0.011471225	0.002351633
4:Del:M:3	0.005364064	0.0151341	0.004380276
5:Del:M:1	0.003846648	0.021153472	0.00268408
5:Del:M:2	0.003125709	0.014028206	0.002686979
5:Del:M:3	0.002982862	0.009735323	0.001743896
5:Del:M:4	0.002235252	0.007097328	0.004638378
5:Del:M:5	0.001170755	0.004120573	0.009868133
