MutationType	PD37580_indels	PD40315_indels	PD40521_indels	PD41048_indels	PD43976_indels	PD44579_indels	PD45534_indels	PD47536_indels	PD47537_indels	PD47538_indels	PD47539_indels	PD47540_indels	PD47541_indels	PD47695_indels	PD47696_indels	PD47697_indels	PD47698_indels	PD47699_indels	PD47700_indels	PD47701_indels	PD47702_indels	PD47703_indels	PD47738_indels	PD48402_indels	PD49236_indels	PD49237_indels	PD50306_indels	PD50307_indels	PD50308_indels	PD60009_indels	PD60010_indels	PD60011_indels
DEL:C:1:0	263	1	106	515	32	544	737	39	133	52	27	27	52	32	45	72	59	69	32	66	47	642	37	30	642	251	70	133	198	39	50	67
DEL:C:1:1	161	1	62	340	12	449	484	14	116	32	27	23	39	31	21	48	24	55	13	37	23	433	15	18	455	167	39	114	113	49	42	50
DEL:C:1:2	68	0	29	168	8	159	228	10	50	24	8	10	19	11	15	26	13	23	9	21	18	192	9	6	163	69	28	47	51	10	11	25
DEL:C:1:3	27	1	13	64	5	65	89	2	24	9	3	4	7	6	2	10	5	9	1	9	4	78	1	2	91	22	15	19	16	3	8	8
DEL:C:1:4	12	0	8	33	2	35	44	0	9	5	2	2	8	3	4	5	9	2	2	3	3	55	2	2	48	16	6	11	6	2	1	3
DEL:C:1:5+	5	0	5	19	1	20	21	2	10	4	4	5	3	2	4	2	3	5	1	3	2	22	2	1	13	8	11	12	5	2	6	3
DEL:T:1:0	247	0	75	393	31	355	722	24	105	41	23	19	48	29	28	43	37	58	15	44	30	662	27	34	517	208	17	118	104	38	34	43
DEL:T:1:1	217	1	31	231	14	221	371	10	58	26	11	9	21	18	17	24	21	29	14	27	16	396	15	17	257	98	18	63	70	17	23	20
DEL:T:1:2	140	0	31	206	6	174	309	12	51	15	10	7	28	8	6	16	16	35	7	20	18	500	19	18	278	98	6	47	83	19	24	21
DEL:T:1:3	139	0	24	145	8	138	261	6	39	15	6	9	28	13	11	21	13	16	7	25	14	1517	7	8	196	74	14	49	334	13	24	21
DEL:T:1:4	80	2	30	92	5	87	160	7	30	10	4	7	17	12	5	10	13	9	5	20	12	2037	8	5	136	47	17	35	495	8	23	15
DEL:T:1:5+	110	2	43	154	15	173	243	14	69	39	23	23	37	17	14	29	31	48	14	37	19	2617	19	8	170	82	23	50	647	25	38	43
INS:C:1:0	33	0	4	14	1	19	34	6	9	4	1	1	3	5	2	4	1	7	1	5	2	71	5	2	29	8	2	6	6	6	1	2
INS:C:1:1	16	0	7	21	1	17	38	3	2	2	2	3	1	0	3	2	2	3	3	0	1	28	1	1	25	21	2	7	9	5	6	2
INS:C:1:2	13	0	2	12	1	21	28	0	7	1	1	0	4	4	2	2	2	2	0	4	1	20	0	0	18	6	1	5	7	1	3	3
INS:C:1:3	9	0	1	5	0	8	8	0	3	1	1	0	2	1	1	2	1	1	0	0	1	16	1	0	7	3	0	2	1	0	1	3
INS:C:1:4	4	0	1	7	0	5	6	1	1	0	0	0	0	0	1	1	1	2	0	1	1	9	1	1	7	3	0	1	2	0	2	3
INS:C:1:5+	10	0	7	19	1	18	45	2	8	9	0	2	3	2	5	4	1	4	1	6	1	20	2	1	27	6	5	9	6	1	1	2
INS:T:1:0	10	0	5	27	1	23	35	1	5	4	2	1	3	1	4	1	1	5	1	3	3	119	2	1	27	17	9	13	44	5	2	2
INS:T:1:1	102	1	37	154	5	157	276	9	39	22	11	12	19	10	6	11	17	22	8	19	12	149	15	7	185	52	33	39	37	11	19	17
INS:T:1:2	59	0	6	30	3	40	68	2	14	4	4	1	5	3	1	3	1	3	2	4	5	59	1	3	48	15	24	9	11	4	0	6
INS:T:1:3	45	1	3	30	4	42	52	2	10	4	0	2	9	3	5	7	5	3	4	5	5	100	2	2	72	19	10	15	20	4	7	5
INS:T:1:4	22	1	5	21	0	16	31	2	2	2	4	2	3	2	2	4	1	3	0	2	3	32	0	2	25	9	8	8	3	3	1	5
INS:T:1:5+	80	19	31	165	45	182	211	47	111	148	65	66	146	59	44	127	138	159	94	154	167	248	40	34	213	91	51	64	74	76	157	81
DEL:repeats:2:0	34	1	8	40	1	49	72	4	24	4	4	2	4	2	1	9	6	4	2	7	6	74	0	2	63	16	8	11	12	4	4	10
DEL:repeats:2:1	23	1	13	43	3	40	74	7	18	2	2	3	3	5	5	6	4	8	0	2	4	62	5	2	72	20	5	11	12	6	9	6
DEL:repeats:2:2	3	0	1	21	2	13	25	0	4	1	2	0	0	1	2	1	2	1	1	2	1	17	1	1	13	6	1	4	3	1	2	2
DEL:repeats:2:3	7	0	0	3	0	5	8	0	0	0	1	2	1	2	0	0	0	4	1	2	2	13	1	0	5	4	1	2	2	1	0	0
DEL:repeats:2:4	1	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	2	0
DEL:repeats:2:5+	0	0	0	1	7	0	0	1	2	11	7	8	17	7	1	14	9	12	12	18	16	0	7	2	1	0	7	0	0	8	10	13
