Sample	PDid	cell_type	Exposure	SBS1+SBS5	SBSBlood	SBS7a	SBS9	SBSA	SBSB	SBSC	SBSD	SBSE	SBSF	SBSG	SBSH	SBSUnassigned	SBSNA
PD37580	PD37580	HSPCs	Chemo	252	346	0	0	0	0	6344	0	0	0	0	0	8	0
PD44579	PD44579	HSPCs	Chemo	199	1060	0	0	0	0	0	0	0	0	0	0	0	0
PD47536	PD47536	HSPCs	Chemo	48	1118	0	0	0	0	0	0	0	0	0	0	2	0
PD47537	PD47537	HSPCs	Chemo	53	1095	0	0	0	0	0	0	0	7	0	0	2	0
PD47538	PD47538	HSPCs	Chemo	38	1274	0	0	0	0	0	0	0	3	0	0	1	0
PD47539	PD47539	HSPCs	Chemo	187	1184	0	0	0	0	0	0	0	0	0	0	0	0
PD47540	PD47540	HSPCs	Chemo	92	1178	0	0	0	0	0	0	0	0	0	0	0	0
PD47541	PD47541	HSPCs	Chemo	40	934	0	0	0	0	56	488	0	0	0	0	4	0
PD47695	PD47695	HSPCs	Chemo	133	1233	0	0	0	0	0	0	0	0	0	0	0	0
PD47696	PD47696	HSPCs	Chemo	115	1505	0	0	0	0	0	0	0	0	0	0	0	0
PD47697	PD47697	HSPCs	Chemo	61	1282	0	0	0	0	0	0	0	0	0	0	0	0
PD47698	PD47698	HSPCs	Chemo	84	1074	0	0	0	0	0	0	0	5	0	0	1	0
PD47699	PD47699	HSPCs	Chemo	91	1305	0	0	0	0	0	172	224	0	0	0	0	0
PD47700	PD47700	HSPCs	Chemo	62	1438	0	0	0	0	0	0	0	30	0	0	4	0
PD47701	PD47701	HSPCs	Chemo	125	1454	0	0	0	0	0	0	0	8	0	0	0	0
PD47702	PD47702	HSPCs	Chemo	60	1130	0	0	0	0	0	0	0	0	0	0	4	0
PD47703-1	PD47703-1	HSPCs	Chemo	77	696	0	0	239	1072	271	439	0	0	0	0	9	0
PD47703-2	PD47703-2	HSPCs	Chemo	106	638	0	0	236	548	174	873	0	0	0	0	3	0
PD50306	PD50306	HSPCs	Chemo	29	140	0	0	0	0	0	0	0	1578	0	0	5	0
