Sample	Patient	Method
PD37580_44	PD37580	colonies
PD37580_73	PD37580	colonies
PD37580_83	PD37580	colonies
PD37580_75	PD37580	colonies
PD37580_9	PD37580	colonies
PD37580_60	PD37580	colonies
PD37580_66	PD37580	colonies
PD37580_68	PD37580	colonies
PD37580_55	PD37580	colonies
PD37580_81	PD37580	colonies
PD37580_82	PD37580	colonies
PD37580_136	PD37580	colonies
PD37580_70	PD37580	colonies
PD37580_72	PD37580	colonies
PD37580_33	PD37580	colonies
PD37580_45	PD37580	colonies
PD37580_54	PD37580	colonies
PD37580_74	PD37580	colonies
PD37580_78	PD37580	colonies
PD37580_84	PD37580	colonies
PD37580_121	PD37580	colonies
PD37580_76	PD37580	colonies
PD37580_10	PD37580	colonies
PD37580_146	PD37580	colonies
PD37580_147	PD37580	colonies
PD37580_30	PD37580	colonies
PD37580_95	PD37580	colonies
PD37580_37	PD37580	colonies
PD37580_21	PD37580	colonies
PD37580_79	PD37580	colonies
PD37580_1	PD37580	colonies
PD37580_65	PD37580	colonies
PD37580_20	PD37580	colonies
PD37580_51	PD37580	colonies
PD37580_15	PD37580	colonies
PD37580_36	PD37580	colonies
PD37580_156	PD37580	colonies
PD37580_47	PD37580	colonies
PD37580_2	PD37580	colonies
PD37580_24	PD37580	colonies
PD37580_59	PD37580	colonies
PD37580_69	PD37580	colonies
PD37580_40	PD37580	colonies
PD37580_19	PD37580	colonies
PD37580_80	PD37580	colonies
PD37580_98	PD37580	colonies
PD37580_160	PD37580	colonies
PD37580_34	PD37580	colonies
PD37580_62	PD37580	colonies
PD37580_43	PD37580	colonies
PD37580_4	PD37580	colonies
PD37580_64	PD37580	colonies
PD37580_16	PD37580	colonies
PD37580_32	PD37580	colonies
PD37580_8	PD37580	colonies
PD37580_5	PD37580	colonies
PD37580_106	PD37580	colonies
PD37580_38	PD37580	colonies
PD37580_13	PD37580	colonies
PD37580_48	PD37580	colonies
PD37580_53	PD37580	colonies
PD37580_39	PD37580	colonies
PD37580_50	PD37580	colonies
PD37580_127	PD37580	colonies
PD37580_25	PD37580	colonies
PD37580_131	PD37580	colonies
PD37580_49	PD37580	colonies
PD37580_28	PD37580	colonies
PD37580_52	PD37580	colonies
PD37580_18	PD37580	colonies
PD37580_61	PD37580	colonies
PD37580_42	PD37580	colonies
PD37580_63	PD37580	colonies
PD37580_46	PD37580	colonies
PD37580_142	PD37580	colonies
PD37580_77	PD37580	colonies
PD37580_31	PD37580	colonies
PD37580_27	PD37580	colonies
PD37580_11	PD37580	colonies
PD37580_56	PD37580	colonies
PD37580_6	PD37580	colonies
PD37580_22	PD37580	colonies
PD37580_135	PD37580	colonies
PD37580_26	PD37580	colonies
PD37580_67	PD37580	colonies
PD37580_71	PD37580	colonies
PD37580_41	PD37580	colonies
PD37580_57	PD37580	colonies
PD37580_29	PD37580	colonies
PD37580_35	PD37580	colonies
PD37580_141	PD37580	colonies
PD37580_58	PD37580	colonies
PD37580_126	PD37580	colonies
PD37580_104	PD37580	colonies
PD37580_165	PD37580	colonies
PD37580_7	PD37580	colonies
PD37580_138	PD37580	colonies
PD37580_17	PD37580	colonies
PD37580_101	PD37580	colonies
PD37580_162	PD37580	colonies
PD37580_23	PD37580	colonies
PD37580_111	PD37580	colonies
PD37580_12	PD37580	colonies
PD37580_112	PD37580	colonies
PD37580_102	PD37580	colonies
PD37580_134	PD37580	colonies
PD37580_107	PD37580	colonies
PD37580_96	PD37580	colonies
PD37580_14	PD37580	colonies
PD37580_103	PD37580	colonies
PD37580_118	PD37580	colonies
PD37580_120	PD37580	colonies
PD37580_115	PD37580	colonies
PD37580_3	PD37580	colonies
PD37580_108	PD37580	colonies
PD37580_119	PD37580	colonies
PD37580_109	PD37580	colonies
PD37580_117	PD37580	colonies
PD37580_100	PD37580	colonies
PD37580_113	PD37580	colonies
PD37580_140	PD37580	colonies
PD37580_122	PD37580	colonies
